Candidate_Set,Comparison_Role,Primary_Analysis,Rank_AICc,Rank_AIC,Model_Number,Model_ID,Model_Name,Model_Family,Scientific_Question,Hypothesis,Biological_Interpretation,Response,Covariates,Season_Focus,Climate_Window,Time_Structure,Lag_Structure,Interaction,C_Structure,B_Structure,U_Structure,Q_Structure,R_Structure,Expected_C_Parameters,Expected_Total_K,Pipeline_Model_Status,Fit_Status,Final_Method,Final_Convergence,Final_Iterations,K,N_Free_C,LogLik,AIC,Delta_AIC,Weight_AIC,AICc,Delta_AICc,Weight_AICc,AICbp,Delta_AICbp,Weight_AICbp,Run_Bootstrap,Bootstrap_N,Bootstrap_Status,N_Boot_Requested,N_Boot_Recorded,Bootstrap_Seed,Bootstrap_Method,CI_Alpha,Bootstrap_Elapsed_Minutes,Status,Notes,Run_ID
PDSI_EXPLORATORY_LEGACY_V1,EXPLORATORY,FALSE,1,1,E2,M3_OctDec_RunMean2,Early Running 2-Year Mean,Drought memory,NA,Two-year mean Oct-Dec PDSI influences pond-level CRLF dynamics.,Antecedent hydrologic conditions may have a short multi-year cumulative effect.,NA,PDSI_OctDec_RunMean2,NA,Oct-Dec,NA,"mean(t,t-1)",FALSE,site_specific,identity,unequal,diagonal and unequal,zero,NA,NA,CONVERGED,CONVERGED,KEM,0,54,56,14,-427.34351975676253,966.6870395135252,0,0.9999885031678639,996.2425950690806,0,0.9999999999999991,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,One site-specific climate coefficient per pond.,20260810_150952_M3_OctDec_RunMean2
PDSI_EXPLORATORY_LEGACY_V1,EXPLORATORY,FALSE,2,2,E1,M2_Interactive_Lag3,Fully Lagged Early × Late Interaction,Lagged climate interaction,NA,PDSI conditions three years earlier influence current pond-level CRLF dynamics.,Hydrologic conditions experienced by an earlier cohort may influence later breeding populations.,NA,PDSI_OctDec_lag3|PDSI_JanMar_lag3|PDSI_Interact_lag3,NA,Oct-Dec + Jan-Mar,NA,t-3,TRUE,site_specific,identity,unequal,diagonal and unequal,zero,NA,NA,CONVERGED,CONVERGED,KEM,0,95,84,42,-410.7169472868306,989.4338945736612,22.746855060136,1.1496832136131924e-5,1065.3913413821715,69.1487463130909,9.650293518944752e-16,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,Three site-specific lagged climate coefficients per pond.,20260810_150948_M2_Interactive_Lag3
PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,TRUE,1,3,P0,M0_Null,Just Egg-Mass Abundance,Null,Can annual site-level CRLF egg-mass dynamics be described without an explicit PDSI covariate?,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,Provides the no-climate baseline against which all PDSI hypotheses are evaluated.,log(annual egg-mass abundance + 1),NA,None,None,None,None,FALSE,none,identity,unequal,diagonal and unequal,zero,0,42,CONVERGED,CONVERGED,BFGS,0,1,42,0,-431.9993548996296,947.9987097992592,5.4965943822808185,0.056348035023827237,963.703057625346,0,0.9848487667635453,NA,NA,NA,FALSE,500,COMPLETE,500,500,20261441,parametric,0.05,97.46624711751936,ACTIVE,NA,20260810_114259_M0_Null
PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,TRUE,2,1,P2,P2_Late_Current,Late Jan-Mar Contemporary Year,Contemporary climate,Is late-season Jan-Mar PDSI important for annual CRLF dynamics at individual sites?,Current-year Jan-Mar PDSI influences site-specific CRLF egg-mass abundance dynamics.,Tests whether moisture conditions during the principal breeding-season window influence current site-level dynamics.,log(annual egg-mass abundance + 1),PDSI_JanMar,Late,Jan-Mar,t,Contemporary,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,14,56,CONVERGED,CONVERGED,KEM,0,173,56,14,-415.25105770848927,942.5021154169784,0,0.8799319369457512,972.057670972534,8.354613347187978,0.015107350591430679,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,NA,20260810_153645_P2_Late_Current
PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,TRUE,3,4,P6,M4_OctDec_RunMean3,Early Running 3-Year Mean,Recent climate memory,Does the recent three-year mean of early-season Oct-Dec climate affect site-level CRLF egg-mass abundance dynamics?,"Mean Oct-Dec PDSI across t, t-1, and t-2 influences site-specific CRLF egg-mass abundance dynamics.",Tests whether populations respond to cumulative recent early-season moisture conditions across three consecutive biological years.,log(annual egg-mass abundance + 1),PDSI_OctDec_RunMean3,Early,Oct-Dec,"mean(t,t-1,t-2)",Recent 3-year mean,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,14,56,CONVERGED,CONVERGED,KEM,0,53,56,14,-421.102079291621,954.204158583242,11.702043166263593,0.0025315277568891546,983.7597141387976,20.05665651345157,4.346322226695175e-5,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,NA,20260810_150954_M4_OctDec_RunMean3
PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,TRUE,4,6,P7,P7_Late_RunMean3,Late Running 3-Year Mean,Recent climate memory,Does the recent three-year mean of late-season Jan-Mar climate affect site-level CRLF egg-mass abundance dynamics?,"Mean Jan-Mar PDSI across t, t-1, and t-2 influences site-specific CRLF egg-mass abundance dynamics.",Tests whether populations integrate breeding-season moisture conditions across the three most recent biological years.,log(annual egg-mass abundance + 1),PDSI_JanMar_RunMean3,Late,Jan-Mar,"mean(t,t-1,t-2)",Recent 3-year mean,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,14,56,CONVERGED,CONVERGED,KEM,0,90,56,14,-426.15834057138466,964.3166811427692,21.81456572579077,1.6124131103697096e-5,993.8722366983249,30.169179072978864,2.7683152677835816e-7,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,NA,20260810_153657_P7_Late_RunMean3
PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,TRUE,5,8,P1,P1_Early_Current,Early Oct-Dec Contemporary Year,Contemporary climate,Is early-season Oct-Dec PDSI important for annual CRLF dynamics at individual sites?,Current-year Oct-Dec PDSI influences site-specific CRLF egg-mass abundance dynamics.,Tests whether antecedent early-season moisture conditions associated with pond filling influence the current biological year.,log(annual egg-mass abundance + 1),PDSI_OctDec,Early,Oct-Dec,t,Contemporary,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,14,56,CONVERGED,CONVERGED,KEM,0,112,56,14,-427.32585114573453,966.6517022914692,24.14958687449075,5.016870845699362e-6,996.2072578470246,32.504200221678616,8.61335105087617e-8,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,NA,20260810_153641_P1_Early_Current
PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,TRUE,6,2,P4,P4_Late_Current_Lag3,Late Jan-Mar Contemporary + t-3 Lag,Contemporary + cohort lag,Does Jan-Mar PDSI three years earlier affect current site-level dynamics after accounting for contemporary Jan-Mar conditions?,Current Jan-Mar PDSI and Jan-Mar PDSI at t-3 jointly influence current CRLF egg-mass abundance dynamics.,Tests a possible lagged cohort effect while accounting for moisture conditions during the current breeding season.,log(annual egg-mass abundance + 1),PDSI_JanMar|PDSI_JanMar_lag3,Late,Jan-Mar,t + t-3,Contemporary plus 3-year lag,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,28,70,CONVERGED,CONVERGED,KEM,0,85,70,28,-403.9221621602473,947.8443243204946,5.342208903516166,0.06086997965951846,997.0522451125738,33.34918748722782,5.6452800941132575e-8,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,NA,20260810_153654_P4_Late_Current_Lag3
PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,TRUE,7,7,P8,P8_Early_RunMean3_Lag3,Early Recent 3-Year Mean + t-3 Lag,Recent climate memory + cohort lag,Do recent early-season conditions across t through t-2 and the separate early-season condition at t-3 jointly affect current CRLF dynamics?,"Mean Oct-Dec PDSI across t, t-1, and t-2 plus Oct-Dec PDSI at t-3 influence site-specific CRLF egg-mass abundance dynamics.",Separates recent cumulative early-season climate from the immediately preceding t-3 cohort-memory year.,log(annual egg-mass abundance + 1),PDSI_OctDec_RunMean3|PDSI_OctDec_lag3,Early,Oct-Dec,"mean(t,t-1,t-2) + t-3",Recent 3-year mean plus separate t-3,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,28,70,CONVERGED,CONVERGED,KEM,0,133,70,28,-413.3112712320694,966.6225424641387,24.12042704716032,5.090552218301505e-6,1015.830463256218,52.127405630871976,4.721143865460085e-12,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,"For biological year 2025: mean(2025,2024,2023) plus separate 2022 PDSI.",20260810_153700_P8_Early_RunMean3_Lag3
PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,TRUE,8,9,P9,P9_Late_RunMean3_Lag3,Late Recent 3-Year Mean + t-3 Lag,Recent climate memory + cohort lag,Do recent late-season conditions across t through t-2 and the separate late-season condition at t-3 jointly affect current CRLF dynamics?,"Mean Jan-Mar PDSI across t, t-1, and t-2 plus Jan-Mar PDSI at t-3 influence site-specific CRLF egg-mass abundance dynamics.",Separates recent cumulative breeding-season climate from the immediately preceding t-3 cohort-memory year.,log(annual egg-mass abundance + 1),PDSI_JanMar_RunMean3|PDSI_JanMar_lag3,Late,Jan-Mar,"mean(t,t-1,t-2) + t-3",Recent 3-year mean plus separate t-3,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,28,70,CONVERGED,CONVERGED,KEM,0,122,70,28,-416.5251708252256,973.0503416504512,30.548226233472747,2.0463788474927779e-7,1022.2582624425304,58.5552048171844,1.8978783691705936e-13,NA,NA,NA,FALSE,500,NA,NA,NA,NA,NA,NA,NA,ACTIVE,NA,20260810_153705_P9_Late_RunMean3_Lag3
