Sort_Order,Model_Number,Model_ID,Model_Name,Enabled,Fit_Model,Run_Bootstrap,Primary_Analysis,Candidate_Set,Comparison_Role,Model_Family,Scientific_Question,Hypothesis,Biological_Interpretation,Response,Covariates,Season_Focus,Climate_Window,Time_Structure,Lag_Structure,Interaction,C_Structure,B_Structure,U_Structure,Q_Structure,R_Structure,Expected_C_Parameters,Expected_Total_K,Bootstrap_N,Status,Notes,Fit_Status,KEM_Convergence,KEM_Iterations,BFGS_Attempted,BFGS_Convergence,BFGS_Iterations,Final_Method,Final_Convergence,Final_Iterations,K,N_Free_C,LogLik,AIC,AICc,Error_Message,Run_ID,Fit_Summary_File,Bootstrap_Status,N_Boot_Requested,N_Boot_Recorded,Bootstrap_Seed,Bootstrap_Method,CI_Alpha,Bootstrap_Elapsed_Minutes,Bootstrap_File,Bootstrap_Summary_File,Has_Fit,Pipeline_Model_Status,Selection_Eligible,Delta_AIC,AIC_Relative_Likelihood,Weight_AIC,Rank_AIC,Delta_AICc,AICc_Relative_Likelihood,Weight_AICc,Rank_AICc,AICbp,Delta_AICbp,Weight_AICbp
0,P0,M0_Null,Just Egg-Mass Abundance,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Null,Can annual site-level CRLF egg-mass dynamics be described without an explicit PDSI covariate?,CRLF egg-mass abundance dynamics do not require an explicit PDSI covariate.,Provides the no-climate baseline against which all PDSI hypotheses are evaluated.,log(annual egg-mass abundance + 1),NA,None,None,None,None,FALSE,none,identity,unequal,diagonal and unequal,zero,0,42,500,ACTIVE,NA,CONVERGED,10,2000,TRUE,0,1,BFGS,0,1,42,0,-431.9993548996296,947.9987097992592,963.703057625346,NA,20260810_114259_M0_Null,F:/CRLF_MARSS/marss_results/models/M0_Null/fit_summary.csv,COMPLETE,500,500,20261441,parametric,0.05,97.46624711751936,F:/CRLF_MARSS/marss_results/models/M0_Null/fit_bootstrap_CIs.rds,F:/CRLF_MARSS/marss_results/models/M0_Null/bootstrap_summary.csv,TRUE,CONVERGED,TRUE,5.4965943822808185,0.0640368108690447,0.056348035023827237,3,0,1,0.9848487667635453,1,NA,NA,NA
1,P1,P1_Early_Current,Early Oct-Dec Contemporary Year,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Contemporary climate,Is early-season Oct-Dec PDSI important for annual CRLF dynamics at individual sites?,Current-year Oct-Dec PDSI influences site-specific CRLF egg-mass abundance dynamics.,Tests whether antecedent early-season moisture conditions associated with pond filling influence the current biological year.,log(annual egg-mass abundance + 1),PDSI_OctDec,Early,Oct-Dec,t,Contemporary,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,14,56,500,ACTIVE,NA,CONVERGED,0,112,FALSE,NA,NA,KEM,0,112,56,14,-427.32585114573453,966.6517022914692,996.2072578470246,NA,20260810_153641_P1_Early_Current,F:/CRLF_MARSS/marss_results/models/P1_Early_Current/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,24.14958687449075,5.701430570997286e-6,5.016870845699362e-6,8,32.504200221678616,8.745861640444305e-8,8.61335105087617e-8,5,NA,NA,NA
2,P2,P2_Late_Current,Late Jan-Mar Contemporary Year,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Contemporary climate,Is late-season Jan-Mar PDSI important for annual CRLF dynamics at individual sites?,Current-year Jan-Mar PDSI influences site-specific CRLF egg-mass abundance dynamics.,Tests whether moisture conditions during the principal breeding-season window influence current site-level dynamics.,log(annual egg-mass abundance + 1),PDSI_JanMar,Late,Jan-Mar,t,Contemporary,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,14,56,500,ACTIVE,NA,CONVERGED,0,173,FALSE,NA,NA,KEM,0,173,56,14,-415.25105770848927,942.5021154169784,972.057670972534,NA,20260810_153645_P2_Late_Current,F:/CRLF_MARSS/marss_results/models/P2_Late_Current/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,0,1,0.8799319369457512,1,8.354613347187978,0.015339766978718104,0.015107350591430679,2,NA,NA,NA
3,P3,P3_Early_Current_Lag3,Early Oct-Dec Contemporary + t-3 Lag,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Contemporary + cohort lag,Does Oct-Dec PDSI three years earlier affect current site-level dynamics after accounting for contemporary Oct-Dec conditions?,Current Oct-Dec PDSI and Oct-Dec PDSI at t-3 jointly influence current CRLF egg-mass abundance dynamics.,"Tests a possible cohort-memory effect associated with the approximate time required for earlier cohorts to contribute to the breeding population, while controlling for current early-season climate.",log(annual egg-mass abundance + 1),PDSI_OctDec|PDSI_OctDec_lag3,Early,Oct-Dec,t + t-3,Contemporary plus 3-year lag,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,28,70,500,ACTIVE,NA,CONVERGED,0,76,FALSE,NA,NA,KEM,0,76,70,28,-419.7404727725329,979.4809455450658,1028.688866337145,NA,20260810_153651_P3_Early_Current_Lag3,F:/CRLF_MARSS/marss_results/models/P3_Early_Current_Lag3/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,36.97883012808734,9.33574679168078e-9,8.214821757238752e-9,10,64.98580871179911,7.735901605359773e-15,7.618693155842703e-15,9,NA,NA,NA
4,P4,P4_Late_Current_Lag3,Late Jan-Mar Contemporary + t-3 Lag,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Contemporary + cohort lag,Does Jan-Mar PDSI three years earlier affect current site-level dynamics after accounting for contemporary Jan-Mar conditions?,Current Jan-Mar PDSI and Jan-Mar PDSI at t-3 jointly influence current CRLF egg-mass abundance dynamics.,Tests a possible lagged cohort effect while accounting for moisture conditions during the current breeding season.,log(annual egg-mass abundance + 1),PDSI_JanMar|PDSI_JanMar_lag3,Late,Jan-Mar,t + t-3,Contemporary plus 3-year lag,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,28,70,500,ACTIVE,NA,CONVERGED,0,85,FALSE,NA,NA,KEM,0,85,70,28,-403.9221621602473,947.8443243204946,997.0522451125738,NA,20260810_153654_P4_Late_Current_Lag3,F:/CRLF_MARSS/marss_results/models/P4_Late_Current_Lag3/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,5.342208903516166,0.06917578178921259,0.06086997965951846,2,33.34918748722782,5.7321289162650155e-8,5.6452800941132575e-8,6,NA,NA,NA
5,P5,M1_Interactive_Direct,Early × Late Contemporary,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Contemporary seasonal interaction,Do contemporary early- and late-season moisture conditions jointly influence site-level CRLF dynamics?,"Current Oct-Dec PDSI, current Jan-Mar PDSI, and their interaction influence site-specific CRLF egg-mass abundance dynamics.",Tests both seasonal main effects and whether the effect of one seasonal moisture window depends on conditions in the other.,log(annual egg-mass abundance + 1),PDSI_OctDec|PDSI_JanMar|PDSI_Interact,Early + Late,Oct-Dec + Jan-Mar,t,Contemporary,TRUE,site_specific,identity,unequal,diagonal and unequal,zero,42,84,500,ACTIVE,Hierarchical interaction model: both main effects are retained with the interaction.,CONVERGED,0,50,FALSE,NA,NA,KEM,0,50,84,42,-395.2616427959992,958.5232855919984,1034.480732400509,NA,20260810_150943_M1_Interactive_Direct,F:/CRLF_MARSS/marss_results/models/M1_Interactive_Direct/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,16.02117017501996,3.3193045379571707e-4,2.920762071397475e-4,5,70.77767477516295,4.2738886356548996e-16,4.209133952109459e-16,10,NA,NA,NA
6,P6,M4_OctDec_RunMean3,Early Running 3-Year Mean,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Recent climate memory,Does the recent three-year mean of early-season Oct-Dec climate affect site-level CRLF egg-mass abundance dynamics?,"Mean Oct-Dec PDSI across t, t-1, and t-2 influences site-specific CRLF egg-mass abundance dynamics.",Tests whether populations respond to cumulative recent early-season moisture conditions across three consecutive biological years.,log(annual egg-mass abundance + 1),PDSI_OctDec_RunMean3,Early,Oct-Dec,"mean(t,t-1,t-2)",Recent 3-year mean,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,14,56,500,ACTIVE,NA,CONVERGED,0,53,FALSE,NA,NA,KEM,0,53,56,14,-421.102079291621,954.204158583242,983.7597141387976,NA,20260810_150954_M4_OctDec_RunMean3,F:/CRLF_MARSS/marss_results/models/M4_OctDec_RunMean3/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,11.702043166263593,0.0028769586039530536,0.0025315277568891546,4,20.05665651345157,4.413187459205799e-5,4.346322226695175e-5,3,NA,NA,NA
7,P7,P7_Late_RunMean3,Late Running 3-Year Mean,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Recent climate memory,Does the recent three-year mean of late-season Jan-Mar climate affect site-level CRLF egg-mass abundance dynamics?,"Mean Jan-Mar PDSI across t, t-1, and t-2 influences site-specific CRLF egg-mass abundance dynamics.",Tests whether populations integrate breeding-season moisture conditions across the three most recent biological years.,log(annual egg-mass abundance + 1),PDSI_JanMar_RunMean3,Late,Jan-Mar,"mean(t,t-1,t-2)",Recent 3-year mean,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,14,56,500,ACTIVE,NA,CONVERGED,0,90,FALSE,NA,NA,KEM,0,90,56,14,-426.15834057138466,964.3166811427692,993.8722366983249,NA,20260810_153657_P7_Late_RunMean3,F:/CRLF_MARSS/marss_results/models/P7_Late_RunMean3/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,21.81456572579077,1.8324293535320524e-5,1.6124131103697096e-5,6,30.169179072978864,2.810903928814314e-7,2.7683152677835816e-7,4,NA,NA,NA
8,P8,P8_Early_RunMean3_Lag3,Early Recent 3-Year Mean + t-3 Lag,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Recent climate memory + cohort lag,Do recent early-season conditions across t through t-2 and the separate early-season condition at t-3 jointly affect current CRLF dynamics?,"Mean Oct-Dec PDSI across t, t-1, and t-2 plus Oct-Dec PDSI at t-3 influence site-specific CRLF egg-mass abundance dynamics.",Separates recent cumulative early-season climate from the immediately preceding t-3 cohort-memory year.,log(annual egg-mass abundance + 1),PDSI_OctDec_RunMean3|PDSI_OctDec_lag3,Early,Oct-Dec,"mean(t,t-1,t-2) + t-3",Recent 3-year mean plus separate t-3,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,28,70,500,ACTIVE,"For biological year 2025: mean(2025,2024,2023) plus separate 2022 PDSI.",CONVERGED,0,133,FALSE,NA,NA,KEM,0,133,70,28,-413.3112712320694,966.6225424641387,1015.830463256218,NA,20260810_153700_P8_Early_RunMean3_Lag3,F:/CRLF_MARSS/marss_results/models/P8_Early_RunMean3_Lag3/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,24.12042704716032,5.785165879955262e-6,5.090552218301505e-6,7,52.127405630871976,4.793775475776776e-12,4.721143865460085e-12,7,NA,NA,NA
9,P9,P9_Late_RunMean3_Lag3,Late Recent 3-Year Mean + t-3 Lag,TRUE,TRUE,FALSE,TRUE,PDSI_PRIMARY_HYPOTHESES_V1,PRIMARY,Recent climate memory + cohort lag,Do recent late-season conditions across t through t-2 and the separate late-season condition at t-3 jointly affect current CRLF dynamics?,"Mean Jan-Mar PDSI across t, t-1, and t-2 plus Jan-Mar PDSI at t-3 influence site-specific CRLF egg-mass abundance dynamics.",Separates recent cumulative breeding-season climate from the immediately preceding t-3 cohort-memory year.,log(annual egg-mass abundance + 1),PDSI_JanMar_RunMean3|PDSI_JanMar_lag3,Late,Jan-Mar,"mean(t,t-1,t-2) + t-3",Recent 3-year mean plus separate t-3,FALSE,site_specific,identity,unequal,diagonal and unequal,zero,28,70,500,ACTIVE,NA,CONVERGED,0,122,FALSE,NA,NA,KEM,0,122,70,28,-416.5251708252256,973.0503416504512,1022.2582624425304,NA,20260810_153705_P9_Late_RunMean3_Lag3,F:/CRLF_MARSS/marss_results/models/P9_Late_RunMean3_Lag3/fit_summary.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,CONVERGED,TRUE,30.548226233472747,2.3256103814071922e-7,2.0463788474927779e-7,9,58.5552048171844,1.9270759462973058e-13,1.8978783691705936e-13,8,NA,NA,NA
